"location","source","target"
"gnowsys_ndf/ndf/gstudio_es/paginator.py:34","That page number is not an integer",
"gnowsys_ndf/ndf/gstudio_es/paginator.py:36","That page number is less than 1",
"gnowsys_ndf/ndf/gstudio_es/paginator.py:41","That page contains no results",
"gnowsys_ndf/ndf/templates/admin/base_site.html:7","Studio",
"gnowsys_ndf/ndf/templates/ndf/ED.html:44 gnowsys_ndf/ndf/templates/ndf/domain.html:19 gnowsys_ndf/ndf/templates/ndf/navbar.html:180 gnowsys_ndf/ndf/templates/ndf/theEDHindi.html:41 gnowsys_ndf/ndf/templates/ndf/theEDTelgu.html:39 gnowsys_ndf/ndf/templates/ndf/theEDhelp.html:37 gnowsys_ndf/ndf/templates/ndf/theMDHindi.html:46 gnowsys_ndf/ndf/templates/ndf/theMDTelgu.html:45 gnowsys_ndf/ndf/templates/ndf/theMDhelp.html:88 gnowsys_ndf/ndf/templates/ndf/theSDTelgu.html:55 gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:10 gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:27 gnowsys_ndf/ndf/templates/ndf/theSDhindi.html:55","Domain",
"gnowsys_ndf/ndf/templates/ndf/ED.html:45 gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:100 gnowsys_ndf/ndf/templates/ndf/devlopementanworkHindi.html:25 gnowsys_ndf/ndf/templates/ndf/devlopementanworkTelgu.html:25 gnowsys_ndf/ndf/templates/ndf/help.html:41 gnowsys_ndf/ndf/templates/ndf/icon_sliderHindi.html:38 gnowsys_ndf/ndf/templates/ndf/icon_sliderTelgu.html:33 gnowsys_ndf/ndf/templates/ndf/navbar.html:176 gnowsys_ndf/ndf/templates/ndf/navbar.html:202 gnowsys_ndf/ndf/templates/ndf/theEDHindi.html:43 gnowsys_ndf/ndf/templates/ndf/theEDTelgu.html:42 gnowsys_ndf/ndf/templates/ndf/theEDhelp.html:39","English",
"gnowsys_ndf/ndf/templates/ndf/ED.html:51 gnowsys_ndf/ndf/templates/ndf/theEDHindi.html:49 gnowsys_ndf/ndf/templates/ndf/theEDTelgu.html:48","Design And Development-English",
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:213 gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:217 gnowsys_ndf/ndf/templates/ndf/module_cards.html:290 gnowsys_ndf/ndf/templates/ndf/module_cards.html:295","Explore module online",
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:261","Student Handbook",
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:279","Teacher Handbook",
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:294","Help Video",
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:302 gnowsys_ndf/ndf/templates/ndf/TheCOOL_OER.html:695 gnowsys_ndf/ndf/templates/ndf/TheCOOL_OER.html:921 gnowsys_ndf/ndf/templates/ndf/TheCOOL_OER.html:1127 gnowsys_ndf/ndf/templates/ndf/cool_preview.html:170 gnowsys_ndf/ndf/templates/ndf/module_cards.html:471","Share","ਸ਼ੇਅਰ"
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:346 gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:348 gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:350 gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:353 gnowsys_ndf/ndf/templates/ndf/cool_preview.html:294 gnowsys_ndf/ndf/templates/ndf/module_cards.html:257 gnowsys_ndf/ndf/templates/ndf/base_templates/horizontal_card.html:32","Subject","ਵਿਸ਼ਾ ਗਿਆਨ-ਖੇਤਰ"
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:360 gnowsys_ndf/ndf/templates/ndf/cool_preview.html:300 gnowsys_ndf/ndf/templates/ndf/module_cards.html:272 gnowsys_ndf/ndf/templates/ndf/base_templates/lms_dashboard.html:95","Grade","ਜਮਾਤ ਪੱਧਰ"
"gnowsys_ndf/ndf/templates/ndf/Emodule_preview.html:460 gnowsys_ndf/ndf/templates/ndf/devlopementanwork.html:38 gnowsys_ndf/ndf/templates/ndf/devlopementanworkHindi.html:54 gnowsys_ndf/ndf/templates/ndf/devlopementanworkTelgu.html:55","Read more",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:79","Subjects",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:79","Click to filter by subjects",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:108 gnowsys_ndf/ndf/templates/ndf/devlopementanworkHindi.html:21 gnowsys_ndf/ndf/templates/ndf/devlopementanworkTelgu.html:21 gnowsys_ndf/ndf/templates/ndf/icon_sliderHindi.html:36 gnowsys_ndf/ndf/templates/ndf/icon_sliderTelgu.html:31 gnowsys_ndf/ndf/templates/ndf/navbar.html:174 gnowsys_ndf/ndf/templates/ndf/navbar.html:205","Math",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:119 gnowsys_ndf/ndf/templates/ndf/devlopementanworkHindi.html:28 gnowsys_ndf/ndf/templates/ndf/devlopementanworkTelgu.html:28 gnowsys_ndf/ndf/templates/ndf/help.html:47 gnowsys_ndf/ndf/templates/ndf/icon_sliderHindi.html:40 gnowsys_ndf/ndf/templates/ndf/icon_sliderTelgu.html:35 gnowsys_ndf/ndf/templates/ndf/navbar.html:178 gnowsys_ndf/ndf/templates/ndf/navbar.html:207 gnowsys_ndf/ndf/templates/ndf/theSDTelgu.html:59 gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:29 gnowsys_ndf/ndf/templates/ndf/theSDhindi.html:60","Science",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:132","Digital Literacy",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:148","Click to see modules",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:150 gnowsys_ndf/ndf/templates/ndf/domain.html:38 gnowsys_ndf/ndf/templates/ndf/base_templates/module.html:34","Modules",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:152","Click to see interactives",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:152 gnowsys_ndf/ndf/templates/ndf/base_templates/file.html:131","Interactives",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:156","Click to see teacher and student handbooks",
"gnowsys_ndf/ndf/templates/ndf/OER_TOC.html:156","Handbooks",
"gnowsys_ndf/ndf/templates/ndf/Oer_teacher_courses.html:25 gnowsys_ndf/ndf/templates/ndf/Oer_teacher_coursesHindi.html:29 gnowsys_ndf/ndf/templates/ndf/Oer_teacher_coursesTelgu.html:29","Explore teacher courses on TiSSx website",
"gnowsys_ndf/ndf/templates/ndf/Oer_teacher_courses.html:25 gnowsys_ndf/ndf/templates/ndf/Oer_teacher_coursesHindi.html:29 gnowsys_ndf/ndf/templates/ndf/Oer_teacher_coursesTelgu.html:29 gnowsys_ndf/ndf/templates/ndf/icon_slider.html:56 gnowsys_ndf/ndf/templates/ndf/icon_sliderHindi.html:67 gnowsys_ndf/ndf/templates/ndf/icon_sliderTelgu.html:59","Explore more",
"gnowsys_ndf/ndf/templates/ndf/TheCOOL.html:102","TISS_COOL",
"gnowsys_ndf/ndf/templates/ndf/TheCOOL_OER.html:231 gnowsys_ndf/ndf/templates/ndf/cool_preview.html:107 gnowsys_ndf/ndf/templates/ndf/navbar.html:151","TISS-COOL",
"gnowsys_ndf/ndf/templates/ndf/TheCOOL_OER.html:233 gnowsys_ndf/ndf/templates/ndf/cool_preview.html:109 gnowsys_ndf/ndf/templates/ndf/navbar.html:163","COOL-OER",
"gnowsys_ndf/ndf/templates/ndf/about.html:11","CLix OER - About",
"gnowsys_ndf/ndf/templates/ndf/about.html:32 gnowsys_ndf/ndf/templates/ndf/about.html:49 gnowsys_ndf/ndf/templates/ndf/footer.html:100 gnowsys_ndf/ndf/templates/ndf/navbar.html:216 gnowsys_ndf/ndf/templates/ndf/panelHindi.html:50 gnowsys_ndf/ndf/templates/ndf/base_templates/event_base.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:30 gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:99 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:459 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:43","About",
"gnowsys_ndf/ndf/templates/ndf/about.html:71","Integrate CLIxOER in your classroom",
"gnowsys_ndf/ndf/templates/ndf/about.html:79","Research",
"gnowsys_ndf/ndf/templates/ndf/about.html:84","CLIx In  Action",
"gnowsys_ndf/ndf/templates/ndf/about.html:87","Our Collaborators",
"gnowsys_ndf/ndf/templates/ndf/cmspage.html:163 gnowsys_ndf/ndf/templates/ndf/cmspagec.html:53 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_node_form.html:63","Choose",
"gnowsys_ndf/ndf/templates/ndf/cmspage.html:181 gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:44 gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:80 gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:90 gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:98 gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:426 gnowsys_ndf/ndf/templates/ndf/base_templates/create_group.html:330 gnowsys_ndf/ndf/templates/ndf/base_templates/create_unit.html:189 gnowsys_ndf/ndf/templates/ndf/base_templates/curriculum_list.html:29 gnowsys_ndf/ndf/templates/ndf/base_templates/edit_forum.html:127 gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:137 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:144 gnowsys_ndf/ndf/templates/ndf/base_templates/lms_dashboard.html:123 gnowsys_ndf/ndf/templates/ndf/base_templates/module_detail.html:76 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:295 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:314 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:137 gnowsys_ndf/ndf/templates/ndf/base_templates/resource_view.html:38 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_cross_publish.html:23 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_node_form.html:80 gnowsys_ndf/ndf/templates/registration/user-icon-to-name.html:20 gnowsys_ndf/ndf/templates/registration/user-icon-to-name.html:51","Cancel",
"gnowsys_ndf/ndf/templates/ndf/contactForm.html:5","Contact Us",
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:159","Explore Online","ਆਨਲਾਈਨ ਪੜਚੋਲ ਕਰੋ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:195","Help Material","ਸਹਾਇਤਾ ਸਮੱਗਰੀ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:279","MetaData","ਮੈਟਾਡੇਟਾ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:281","Website","ਵੈਬਸਾਈਟ ਲਿੰਕ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:305","Curriculum","ਪਾਠਕ੍ਰਮ ਦੀ ਇਕਸਾਰਤਾ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:311","Language Support","ਭਾਸ਼ਾ ਸਮਰਥਨ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:317","Device Compatibility","ਜੰਤਰ ਅਨੁਕੂਲਤਾ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:322","Offline Access","ਆਫਲਾਈਨ ਪਹੁੰਚ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:328","OS Compatibility","OS ਅਨੁਕੂਲਤਾ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:332","Accessibility","ਪਹੁੰਚਯੋਗਤਾ "
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:340","License","ਲਾਇਸੈਂਸ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:347 gnowsys_ndf/ndf/templates/ndf/base_templates/term.html:11","Topics","ਵਿਸ਼ਾ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:357","Curator","ਕਿਊਰੇਟਰ"
"gnowsys_ndf/ndf/templates/ndf/cool_preview.html:363","Date of curation","ਕਿਊਰੇਸ਼ਨ ਦੀ ਮਿਤੀ"
"gnowsys_ndf/ndf/templates/ndf/domain.html:38","Click to see all modules",
"gnowsys_ndf/ndf/templates/ndf/domain.html:39","Testimonials of student and teachers",
"gnowsys_ndf/ndf/templates/ndf/domain.html:40","Voices From The Field",
"gnowsys_ndf/ndf/templates/ndf/domain.html:41","Support material to integrate CLIx OERs in the classroom",
"gnowsys_ndf/ndf/templates/ndf/domain.html:44","CLIx in the Classroom",
"gnowsys_ndf/ndf/templates/ndf/domain.html:46","Know about the design and development details of CLIx OERs",
"gnowsys_ndf/ndf/templates/ndf/domain.html:49","Design and Development Process",
"gnowsys_ndf/ndf/templates/ndf/domain.html:55","Know our team",
"gnowsys_ndf/ndf/templates/ndf/domain.html:56","Team Details",
"gnowsys_ndf/ndf/templates/ndf/domain.html:58 gnowsys_ndf/ndf/templates/ndf/footer.html:104 gnowsys_ndf/ndf/templates/ndf/footer.html:121","Contact us",
"gnowsys_ndf/ndf/templates/ndf/domain.html:71"," Voices from the Field ",
"gnowsys_ndf/ndf/templates/ndf/footer.html:74","Led By",
"gnowsys_ndf/ndf/templates/ndf/footer.html:101","Credits",
"gnowsys_ndf/ndf/templates/ndf/footer.html:102","Terms of service",
"gnowsys_ndf/ndf/templates/ndf/footer.html:103","Privacy policy",
"gnowsys_ndf/ndf/templates/ndf/footer.html:113","2019-2020 Tata Institute of Social Sciences and Massachusetts Institute of Technology",
"gnowsys_ndf/ndf/templates/ndf/footer.html:119","Visit our site",
"gnowsys_ndf/ndf/templates/ndf/help.html:44 gnowsys_ndf/ndf/templates/ndf/theMDHindi.html:50 gnowsys_ndf/ndf/templates/ndf/theMDTelgu.html:50 gnowsys_ndf/ndf/templates/ndf/theMDhelp.html:89 gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:11","Mathematics",
"gnowsys_ndf/ndf/templates/ndf/help.html:66 gnowsys_ndf/ndf/templates/ndf/theEDhelp.html:50","Help Videos - English",
"gnowsys_ndf/ndf/templates/ndf/help.html:142 gnowsys_ndf/ndf/templates/ndf/theMDhelp.html:106","Help Videos - Mathematics",
"gnowsys_ndf/ndf/templates/ndf/help.html:224 gnowsys_ndf/ndf/templates/ndf/theSDhelp.html:43","Coming Soon!",
"gnowsys_ndf/ndf/templates/ndf/module_cards.html:306","Download offline version",
"gnowsys_ndf/ndf/templates/ndf/module_cards.html:464","Help videos",
"gnowsys_ndf/ndf/templates/ndf/module_cards.html:511","Preview the module content",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:129","E-library for open educational resources",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:129 gnowsys_ndf/ndf/templates/ndf/oer_breadcrumbs.html:9","E-library",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:149 gnowsys_ndf/ndf/templates/ndf/navbar.html:151","Connected Open Online Learning - A TISS response to COVID-19",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:156 gnowsys_ndf/ndf/templates/ndf/navbar.html:158","Open Education Resources",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:171","Select a subject domain",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:214","Know about CLIx OERs",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:219","Explore help material",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:220 gnowsys_ndf/ndf/templates/ndf/base_templates/action_panel.html:311 gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:129","Help",
"gnowsys_ndf/ndf/templates/ndf/navbar.html:252","Choose the Language",
"gnowsys_ndf/ndf/templates/ndf/oer_breadcrumbs.html:15","Download offline version of all modules",
"gnowsys_ndf/ndf/templates/ndf/oer_breadcrumbs.html:15","Download All",
"gnowsys_ndf/ndf/templates/ndf/panelTelgu.html:83","CLIx OER",
"gnowsys_ndf/ndf/templates/ndf/theEDhelp.html:40","Help Videos -English",
"gnowsys_ndf/ndf/templates/ndf/theLearningpage.html:286","Learn more",
"gnowsys_ndf/ndf/templates/ndf/theMDHindi.html:56 gnowsys_ndf/ndf/templates/ndf/theMDTelgu.html:56","Design And Development- Mathemactics",
